10 2.0466e-14
12.2897 2.6136e-14
15.1038 3.32594e-14
18.5621 4.21654e-14
22.8123 5.32402e-14
28.0357 6.69251e-14
34.4552 8.37075e-14
42.3445 1.04099e-13
52.0403 1.28599e-13
63.9561 1.57647e-13
78.6003 1.91557e-13
96.5977 2.30437e-13
118.716 2.74088e-13
145.899 3.21903e-13
179.306 3.72753e-13
220.362 4.24922e-13
270.819 4.76114e-13
332.829 5.23601e-13
409.038 5.6454e-13
502.697 5.9646e-13
617.801 6.17808e-13
759.261 6.28398e-13
933.111 6.29496e-13
1146.77 6.23328e-13
1409.35 6.12009e-13
1732.05 5.96257e-13
2128.64 5.74558e-13
2616.05 5.43432e-13
3215.05 4.98968e-13
3951.21 4.39084e-13
4855.93 3.6544e-13
5967.81 2.83945e-13
7334.28 2.03353e-13
9013.64 1.32451e-13
11077.5 7.72518e-14
13614 3.95538e-14
16731.2 1.73158e-14
20562.2 6.26161e-15
25270.4 1.79031e-15
31056.6 3.83442e-16
38167.8 5.75781e-17
46907.2 5.58958e-18
57647.7 3.17559e-19
70847.5 9.34237e-21
87069.6 1.2245e-22
107006 5.9434e-25
131508 8.51109e-28
161620 2.71952e-31
198626 1.37545e-35
244106 7.22073e-41
300000 2.3424e-47
